fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout
2,2026-07-31,passive_sell,0.9,0.0,684,0.0006248064981540022,0.004064327485380306,-0.011403508771929602,2.780000000000129
2,2026-07-31,passive_sell,0.9,0.25,308,0.0006248064981540022,0.003133116883117125,-0.012402597402596988,0.9650000000000745
2,2026-07-31,passive_sell,0.9,0.5,199,0.0006248064981540022,0.006482412060301682,-0.008844221105527307,1.2900000000000347
2,2026-07-31,passive_sell,0.9,1.0,64,0.0006248064981540022,0.008515625000000915,-0.004218749999998939,0.5450000000000585
3,2026-08-03,passive_buy,0.0,0.0,8209,-inf,0.00360275307589244,-0.0078011938116700165,29.57500000000104
3,2026-08-03,passive_buy,0.0,0.25,2955,-inf,0.0012825719120138077,-0.010659898477157098,3.790000000000802
3,2026-08-03,passive_buy,0.0,0.5,1757,-inf,0.0010700056915199244,-0.010842344906089625,1.880000000000507
3,2026-08-03,passive_buy,0.0,1.0,489,-inf,0.0019222903885490117,-0.008977505112473335,0.9400000000004667
3,2026-08-03,passive_buy,0.3,0.0,6030,-0.000227862320296404,0.003511608623549063,-0.007560530679933532,21.17500000000085
3,2026-08-03,passive_buy,0.3,0.25,2198,-0.000227862320296404,0.001062329390355169,-0.010559599636032434,2.3350000000006617
3,2026-08-03,passive_buy,0.3,0.5,1320,-0.000227862320296404,0.0006742424242426723,-0.010977272727272497,0.8900000000003274
3,2026-08-03,passive_buy,0.3,1.0,334,-0.000227862320296404,0.0019910179640726835,-0.008892215568861314,0.6650000000002763
3,2026-08-03,passive_buy,0.5,0.0,4517,-4.275297896168937e-05,0.003347354438786869,-0.007493911888421487,15.120000000000289
3,2026-08-03,passive_buy,0.5,0.25,1663,-4.275297896168937e-05,0.0009470835838849152,-0.010475045099217987,1.575000000000614
3,2026-08-03,passive_buy,0.5,0.5,1002,-4.275297896168937e-05,0.000573852295409454,-0.01076846307385218,0.5750000000002728
3,2026-08-03,passive_buy,0.5,1.0,246,-4.275297896168937e-05,0.0012195121951230372,-0.009308943089429736,0.30000000000026716
3,2026-08-03,passive_buy,0.7,0.0,2948,0.00012676962584072342,0.00382801899592951,-0.006862279511533167,11.285000000000196
3,2026-08-03,passive_buy,0.7,0.25,1102,0.00012676962584072342,0.0020009074410166677,-0.00919237749546243,2.2050000000003678
