fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout,n_unwind_1000,mean_unwind_1000,frac_passive_exit_1000,n_unwind_5000,mean_unwind_5000,frac_passive_exit_5000
2,2026-07-31,passive_buy,0.7,0.0,7186,0.0001522447897470864,-0.001321319231839772,-0.014191483440022351,-9.495000000000601,7186,-0.006308099081547346,0.6539103812969663,7186,-0.0036557194544947122,0.9487893125521848
2,2026-07-31,passive_buy,0.7,0.25,5258,0.0001522447897470864,-0.003430011411183032,-0.016453023963484276,-18.03500000000038,5258,-0.009847850893875937,0.599657664511221,5258,-0.007130087485735942,0.9163179916317992
2,2026-07-31,passive_buy,0.7,0.5,4300,0.0001522447897470864,-0.0039011627906978276,-0.017013953488372237,-16.77500000000066,4300,-0.011288372093023207,0.543953488372093,4300,-0.008234883720930241,0.8846511627906977
2,2026-07-31,passive_buy,0.7,1.0,826,0.0001522447897470864,-0.003256658595641592,-0.01533898305084733,-2.689999999999955,826,-0.012627118644067478,0.2820823244552058,826,-0.007578692493946566,0.6162227602905569
2,2026-07-31,passive_buy,0.9,0.0,3174,0.0004479765376182054,-0.002142407057340876,-0.014729048519218633,-6.79999999999994,3174,-0.005957781978575727,0.6991178323881537,3174,-0.0036988027725264917,0.9546313799621928
2,2026-07-31,passive_buy,0.9,0.25,2372,0.0004479765376182054,-0.0037457841483979066,-0.016349072512647455,-8.884999999999835,2372,-0.009266441821247768,0.6538785834738617,2372,-0.006960370994940848,0.9295952782462057
2,2026-07-31,passive_buy,0.9,0.5,1954,0.0004479765376182054,-0.004314227226202694,-0.01694984646878202,-8.430000000000064,1954,-0.010680655066530102,0.6079836233367452,1954,-0.007911975435005079,0.9058341862845445
2,2026-07-31,passive_buy,0.9,1.0,390,0.0004479765376182054,-0.0049871794871794335,-0.01641025641025628,-1.944999999999979,390,-0.01294871794871754,0.35384615384615387,390,-0.004846153846153556,0.6846153846153846
2,2026-07-31,passive_sell,0.0,0.0,20434,-inf,-0.0011524909464617208,-0.015273074287951419,-23.549999999998803,20434,-0.007445923460898484,0.6741215621023784,20434,-0.004169521385925382,0.9757756680043066
2,2026-07-31,passive_sell,0.0,0.25,15857,-inf,-0.0024333102100018308,-0.01668159172605154,-38.58499999999903,15857,-0.011203884719682127,0.5658699627924576,15857,-0.007384120577662873,0.9286750331084064
2,2026-07-31,passive_sell,0.0,0.5,12706,-inf,-0.0028384227923814722,-0.01711081378876116,-36.06499999999899,12706,-0.012590901936093132,0.4944907917519282,12706,-0.008322839603336993,0.8861954981898316
2,2026-07-31,passive_sell,0.0,1.0,2755,-inf,-0.0011143375680579036,-0.014145190562613342,-3.069999999999524,2755,-0.012823956442831061,0.17785843920145192,2755,-0.008805807622504363,0.5063520871143375
2,2026-07-31,passive_sell,0.3,0.0,11992,-0.00015224478974708647,-0.0006287525016677471,-0.015518679119412957,-7.539999999999623,11992,-0.007957805203468966,0.6681954636424283,11992,-0.004398765843895876,0.9782354903268846
2,2026-07-31,passive_sell,0.3,0.25,9282,-0.00015224478974708647,-0.002014113337642747,-0.01707067442361565,-18.69499999999998,9282,-0.011874595992243024,0.563887093298858,9282,-0.007776341305753076,0.9335272570566688
2,2026-07-31,passive_sell,0.3,0.5,7489,-0.00015224478974708647,-0.0022726665776472057,-0.01737481639738287,-17.019999999999925,7489,-0.013097876886099613,0.4919214848444385,7489,-0.008585926024836417,0.8975831219121378
2,2026-07-31,passive_sell,0.3,1.0,1386,-0.00015224478974708647,-0.0008261183261181694,-0.014927849927849788,-1.1449999999997829,1386,-0.01382395382395376,0.15512265512265513,1386,-0.010093795093795101,0.5050505050505051
2,2026-07-31,passive_sell,0.5,0.0,8548,4.070215200725618e-05,-0.001061651848385551,-0.016397987833411343,-9.07499999999969,8548,-0.007882545624707464,0.6752456715021058,8548,-0.004133130556855306,0.9782405240992045
2,2026-07-31,passive_sell,0.5,0.25,6647,4.070215200725618e-05,-0.0027102452234089927,-0.01819768316533774,-18.014999999999574,6647,-0.011922671882051955,0.5715360312923123,6647,-0.007621483375959019,0.9386189258312021
2,2026-07-31,passive_sell,0.5,0.5,5426,4.070215200725618e-05,-0.002843715444157661,-0.018374493180980427,-15.429999999999467,5426,-0.013120162182086156,0.4981570217471434,5426,-0.00829524511610754,0.9045337265020272
2,2026-07-31,passive_sell,0.5,1.0,931,4.070215200725618e-05,-0.0015252416756173577,-0.016068743286788287,-1.4199999999997601,931,-0.014747583243823637,0.16219119226638024,931,-0.01119226638023611,0.5091299677765844
2,2026-07-31,passive_sell,0.7,0.0,5324,0.0002488711904523378,-0.0013749060856499153,-0.017036063110443374,-7.3200000000001495,5324,-0.007947032306536359,0.6825694966190834,5324,-0.0042524417731028795,0.981404958677686
2,2026-07-31,passive_sell,0.7,0.25,4157,0.0002488711904523378,-0.0033040654318017867,-0.019158046668270458,-13.735000000000028,4157,-0.01233341351936481,0.5785422179456339,4157,-0.007827760404137539,0.9432282896319462
2,2026-07-31,passive_sell,0.7,0.5,3428,0.0002488711904523378,-0.003432030338389707,-0.01931738623103855,-11.764999999999915,3428,-0.013698949824970648,0.501458576429405,3428,-0.008990665110851712,0.9084014002333722
