feature,target,n,pearson,spearman,slope,slope_se_hac,t_stat_hac,p_value_hac,hac_lag,directional_accuracy,pct_target_unchanged,cond_mean_pos,cond_mean_neg,cond_mean_se_pos,cond_mean_se_neg,ci95_slope_low,ci95_slope_high,p_value_fdr
nOFI_L2,ms100,1446981,0.030742061865309332,0.011835577363985902,0.0003126324642426785,1.1528742196095463e-05,27.117655935489683,6.09715150639724e-162,33,0.5038635536948906,49.971837916323715,0.000342884938290606,-0.0003991083527109097,1.3308859097754173e-05,1.3313798419541394e-05,0.0002900365447512842,0.0003352283837340728,1.1889445437474618e-160
nOFI_L2,ms250,1864457,0.023328505998635098,0.004869456266364247,0.00032201908552177314,1.3595233688575497e-05,23.68617508887515,5.006058671057362e-124,35,0.49836840209353084,39.176178372577105,0.00035470657562674927,-0.0003970048219384139,1.5653215645963174e-05,1.5669536479624385e-05,0.00029537291713075954,0.00034866525391278675,6.50787627237457e-123
nOFI_L2,ms500,2067545,0.01408962968892785,0.0004474926044206339,0.00025707693938405586,1.872032517668237e-05,13.732503947328077,6.485283437935461e-43,36,0.4962947653532686,28.77069181081911,0.00028520314653810775,-0.0003501016998047809,1.9505565507006058e-05,1.9561458731010597e-05,0.00022038577625887998,0.0002937681025092317,2.2993277643589363e-42
nOFI_L2,ms1000,2144991,0.008503442849166421,0.0002825464524198734,0.00021183417777698133,2.5037248066240683e-05,8.46076123128767,2.6563778762551413e-17,36,0.49650837308020734,18.60543937014188,0.00024432949036162836,-0.00032062753099187013,2.604828428052288e-05,2.6098596919575617e-05,0.00016276207329515448,0.00026090628225880816,5.919927838511458e-17
nOFI_L2,ms2000,2157802,0.005132749328521366,0.0012143496369910473,0.0001780709061257506,3.5600670720316314e-05,5.001897507063834,5.676877060276913e-07,36,0.49789643548921103,11.003187502838536,0.00021634116486997224,-0.0003456587811812782,3.615133119865116e-05,3.618175720317936e-05,0.00010829487368846102,0.0002478469385630402,7.907078762528556e-07
nOFI_L2,ms5000,2158188,0.0010840701483072828,-9.815755298336914e-05,5.857040251982165e-05,5.734189113194911e-05,1.0214243263279479,0.3070534448634724,36,0.4988911258611469,5.612161683782877,2.608129469465077e-05,-0.0003217402831885764,5.6293697550469803e-05,5.6335201979014035e-05,-5.381763890421532e-05,0.00017095844394385862,0.33264123193542844
nOFI_L2,ms10000,2157691,-0.0008504709582605529,-0.002166888516080875,-6.439165760205472e-05,8.161372701441843e-05,-0.7889807261305302,0.4301232715939892,36,0.49840820112512496,3.6958952880648805,-0.00021550686361964356,-0.0003590340970104925,7.879856131305314e-05,7.908130168770745e-05,-0.0002243516231943985,9.556830799028907e-05,0.45958376964837205
nOFI_L2,ms30000,2155694,-0.0019740814449392004,-0.002556377727476544,-0.0002560947523145041,0.0001440027656163181,-1.7784016245691046,0.07533791606798633,36,0.4992731514418713,2.0053866643410427,-0.0008234289302136583,-0.0007086559346809332,0.0001350638327773803,0.00013569036762063277,-0.0005383349865966504,2.6145481967642216e-05,0.08770682766123782
nOFI_L2,ev1,2158685,-0.005017335122704027,-0.0075250780419115525,-8.958952861217888e-06,1.382590886890981e-06,-6.479829243894266,9.18264804512305e-11,36,0.49395195616108584,88.28666526149021,2.097628711421109e-06,1.3473025947357298e-05,1.8619332969443735e-06,1.8603667967025125e-06,-1.1668781204877502e-05,-6.249124517558274e-06,1.557057711999126e-10
nOFI_L2,ev5,2158685,-0.012378394651225338,-0.01699403553442471,-5.156106678078451e-05,3.8088095623022066e-06,-13.537318140321725,9.416438242223657e-42,36,0.4906950372770067,59.42747552329312,-1.9385777431917537e-05,5.784954265446852e-05,4.343359228581386e-06,4.339602325119212e-06,-5.90261963468686e-05,-4.409593721470042e-05,3.1934007951888927e-41
nOFI_L2,ev10,2158684,-0.006632615476616016,-0.007840593747816668,-3.8639674252759996e-05,5.3453702893053094e-06,-7.228624428520489,4.879106763662264e-13,36,0.49764915765853357,42.519933440929755,1.2539682100653938e-06,3.261620309874667e-05,6.067444319073098e-06,6.076955892265448e-06,-4.911640750382885e-05,-2.816294100169114e-05,9.758213527324528e-13
nOFI_L2,ev25,2158677,0.006961589740450226,0.010570100024777008,6.431096103736759e-05,9.429136980501399e-06,6.820450394384643,9.075552243669009e-12,36,0.5067214062156231,24.32262909180021,0.00011427728423178017,-0.00011612897204112997,9.617417057525913e-06,9.63851095746851e-06,4.58301921502901e-05,8.279172992444508e-05,1.6088478977413242e-11
